"method","calcAge","methodR","total","percent"
"10",15,15,1769,0.847936687394008
"10",16,17,2975,0.571428571428571
"10",17,34,3973,0.855776491316386
"10",18,40,4732,0.84530853761623
"10",19,47,5027,0.934951263178834
"10",20,46,4976,0.92443729903537
"10",21,54,5124,1.05386416861827
"10",22,53,5248,1.00990853658537
"10",23,66,5450,1.21100917431193
"10",24,72,5485,1.3126709206928
"10",25,75,5472,1.37061403508772
"10",26,69,5417,1.27376776813735
"10",27,84,5356,1.56833457804332
"10",28,83,5170,1.60541586073501
"10",29,94,5106,1.8409714061888
"10",30,74,4747,1.55887929218454
"10",31,71,4433,1.60162418226934
"10",32,79,4172,1.89357622243528
"10",33,71,3950,1.79746835443038
"10",34,86,3931,2.18773848893411
"10",35,82,3708,2.21143473570658
"10",36,90,3604,2.49722530521643
"10",37,82,3437,2.38580157113762
"10",38,66,3242,2.03578038247995
"10",39,72,3177,2.26628895184136
"10",40,70,3138,2.23072020395156
"10",41,68,3083,2.20564385338956
"10",42,47,2323,2.02324580284115
"10",43,24,1565,1.53354632587859
"11",15,2,1769,0.113058224985868
"11",16,3,2975,0.100840336134454
"11",17,1,3973,0.0251698968034231
"11",18,5,4732,0.105663567202029
"11",19,5,5027,0.0994629003381739
"11",20,3,4976,0.0602893890675241
"11",21,8,5124,0.156128024980484
"11",22,5,5248,0.0952743902439024
"11",23,9,5450,0.165137614678899
"11",24,12,5485,0.218778486782133
"11",25,11,5472,0.201023391812865
"11",26,19,5417,0.350747646298689
"11",27,13,5356,0.242718446601942
"11",28,18,5170,0.34816247582205
"11",29,27,5106,0.528789659224442
"11",30,25,4747,0.526648409521803
"11",31,20,4433,0.451161741484322
"11",32,14,4172,0.335570469798658
"11",33,17,3950,0.430379746835443
"11",34,18,3931,0.457898753497838
"11",35,15,3708,0.40453074433657
"11",36,18,3604,0.499445061043285
"11",37,13,3437,0.378236834448647
"11",38,9,3242,0.277606415792721
"11",39,9,3177,0.28328611898017
"11",40,8,3138,0.254939451880178
"11",41,11,3083,0.356795329224781
"11",42,9,2323,0.387430047352561
"11",43,5,1565,0.319488817891374
"12",15,1,1769,0.0565291124929339
"12",19,3,5027,0.0596777402029043
"12",20,2,4976,0.0401929260450161
"12",21,1,5124,0.0195160031225605
"12",22,1,5248,0.0190548780487805
"12",23,5,5450,0.0917431192660551
"12",24,3,5485,0.0546946216955333
"12",25,4,5472,0.0730994152046784
"12",26,4,5417,0.0738416097470925
"12",27,6,5356,0.112023898431665
"12",28,4,5170,0.0773694390715667
"12",29,5,5106,0.0979240109674892
"12",30,3,4747,0.0631978091426164
"12",31,5,4433,0.112790435371081
"12",32,3,4172,0.0719079578139981
"12",33,4,3950,0.10126582278481
"12",34,4,3931,0.101755278555075
"12",35,7,3708,0.188781014023732
"12",36,9,3604,0.249722530521643
"12",37,7,3437,0.203665987780041
"12",38,6,3242,0.185070943861814
"12",39,9,3177,0.28328611898017
"12",40,6,3138,0.191204588910134
"12",41,3,3083,0.0973078170613039
"12",42,2,2323,0.086095566078347
"12",43,1,1565,0.0638977635782748
"19",15,3,1769,0.169587337478802
"19",16,11,2975,0.369747899159664
"19",17,24,3973,0.604077523282155
"19",18,56,4732,1.18343195266272
"19",19,88,5027,1.75054704595186
"19",20,134,4976,2.69292604501608
"19",21,180,5124,3.51288056206089
"19",22,208,5248,3.96341463414634
"19",23,227,5450,4.1651376146789
"19",24,237,5485,4.32087511394713
"19",25,268,5472,4.89766081871345
"19",26,288,5417,5.31659590179066
"19",27,263,5356,4.91038088125467
"19",28,268,5170,5.18375241779497
"19",29,288,5106,5.64042303172738
"19",30,277,4747,5.83526437750158
"19",31,265,4433,5.97789307466727
"19",32,248,4172,5.94439117929051
"19",33,217,3950,5.49367088607595
"19",34,206,3931,5.24039684558636
"19",35,173,3708,4.6655879180151
"19",36,148,3604,4.10654827968923
"19",37,123,3437,3.57870235670643
"19",38,124,3242,3.82479950647748
"19",39,121,3177,3.80862448851117
"19",40,116,3138,3.69662205226259
"19",41,107,3083,3.47064547518651
"19",42,67,2323,2.88420146362462
"19",43,48,1565,3.06709265175719
"20",15,22,1769,1.24364047484454
"20",16,42,2975,1.41176470588235
"20",17,68,3973,1.71155298263277
"20",18,98,4732,2.07100591715976
"20",19,95,5027,1.8897951064253
"20",20,90,4976,1.80868167202572
"20",21,75,5124,1.46370023419204
"20",22,69,5248,1.31478658536585
"20",23,70,5450,1.28440366972477
"20",24,70,5485,1.27620783956244
"20",25,60,5472,1.09649122807018
"20",26,52,5417,0.959940926712202
"20",27,46,5356,0.858849887976102
"20",28,45,5170,0.870406189555126
"20",29,40,5106,0.783392087739914
"20",30,31,4747,0.653044027807036
"20",31,30,4433,0.676742612226483
"20",32,19,4172,0.455417066155321
"20",33,12,3950,0.30379746835443
"20",34,13,3931,0.330704655303994
"20",35,11,3708,0.296655879180151
"20",36,11,3604,0.305216426193119
"20",37,12,3437,0.349141693337213
"20",38,4,3242,0.123380629241209
"20",39,4,3177,0.125904941768964
"20",40,5,3138,0.159337157425112
"20",41,8,3083,0.259487512163477
"20",42,2,2323,0.086095566078347
"20",43,2,1565,0.12779552715655
"25",15,19,1769,1.07405313736574
"25",16,42,2975,1.41176470588235
"25",17,47,3973,1.18298514976089
"25",18,71,4732,1.50042265426881
"25",19,80,5027,1.59140640541078
"25",20,71,4976,1.42684887459807
"25",21,70,5124,1.36612021857923
"25",22,77,5248,1.4672256097561
"25",23,71,5450,1.30275229357798
"25",24,73,5485,1.33090246125798
"25",25,62,5472,1.13304093567251
"25",26,55,5417,1.01532213402252
"25",27,53,5356,0.989544436146378
"25",28,52,5170,1.00580270793037
"25",29,55,5106,1.07716412064238
"25",30,54,4747,1.13756056456709
"25",31,46,4433,1.03767200541394
"25",32,30,4172,0.719079578139981
"25",33,23,3950,0.582278481012658
"25",34,19,3931,0.483337573136606
"25",35,15,3708,0.40453074433657
"25",36,18,3604,0.499445061043285
"25",37,14,3437,0.407331975560081
"25",38,11,3242,0.339296730413325
"25",39,5,3177,0.157381177211206
"25",40,8,3138,0.254939451880178
"25",41,4,3083,0.129743756081739
"25",42,4,2323,0.172191132156694
"25",43,2,1565,0.12779552715655
"26",15,10,1769,0.565291124929339
"26",16,24,2975,0.80672268907563
"26",17,46,3973,1.15781525295746
"26",18,55,4732,1.16229923922232
"26",19,72,5027,1.4322657648697
"26",20,82,4976,1.64790996784566
"26",21,86,5124,1.6783762685402
"26",22,96,5248,1.82926829268293
"26",23,114,5450,2.09174311926605
"26",24,130,5485,2.37010027347311
"26",25,119,5472,2.17470760233918
"26",26,108,5417,1.9937234631715
"26",27,101,5356,1.8857356235997
"26",28,81,5170,1.56673114119923
"26",29,78,5106,1.52761457109283
"26",30,70,4747,1.47461554666105
"26",31,61,4433,1.37604331152718
"26",32,55,4172,1.3183125599233
"26",33,50,3950,1.26582278481013
"26",34,47,3931,1.19562452302213
