"method","calcAge","methodR","total","percent"
"26",35,33,3708,0.889967637540453
"26",36,27,3604,0.749167591564928
"26",37,25,3437,0.72737852778586
"26",38,19,3242,0.586057988895743
"26",39,16,3177,0.503619767075858
"26",40,14,3138,0.446144040790312
"26",41,7,3083,0.227051573143042
"26",42,7,2323,0.301334481274214
"26",43,6,1565,0.383386581469649
"3",15,386,1769,21.8202374222725
"3",16,651,2975,21.8823529411765
"3",17,826,3973,20.7903347596275
"3",18,988,4732,20.8791208791209
"3",19,1032,5027,20.5291426297991
"3",20,992,4976,19.935691318328
"3",21,1031,5124,20.1209992193599
"3",22,1029,5248,19.6074695121951
"3",23,1052,5450,19.302752293578
"3",24,1003,5485,18.2862351868733
"3",25,953,5472,17.4159356725146
"3",26,919,5417,16.9651098393945
"3",27,898,5356,16.7662434652726
"3",28,783,5170,15.1450676982592
"3",29,734,5106,14.3752448100274
"3",30,692,4747,14.5776279755635
"3",31,632,4433,14.2567110309046
"3",32,577,4172,13.830297219559
"3",33,531,3950,13.4430379746835
"3",34,504,3931,12.8211650979395
"3",35,465,3708,12.5404530744337
"3",36,399,3604,11.0710321864595
"3",37,384,3437,11.1725341867908
"3",38,330,3242,10.1789019123998
"3",39,309,3177,9.7261567516525
"3",40,285,3138,9.08221797323136
"3",41,261,3083,8.46578008433344
"3",42,190,2323,8.17907877744296
"3",43,127,1565,8.1150159744409
"4",15,525,1769,29.6777840587903
"4",16,877,2975,29.4789915966387
"4",17,1169,3973,29.4236093632016
"4",18,1337,4732,28.2544378698225
"4",19,1347,5027,26.795305351104
"4",20,1282,4976,25.7636655948553
"4",21,1275,5124,24.8829039812646
"4",22,1229,5248,23.4184451219512
"4",23,1287,5450,23.6146788990826
"4",24,1233,5485,22.4794895168642
"4",25,1186,5472,21.6739766081871
"4",26,1141,5417,21.0633191803581
"4",27,1077,5356,20.1082897684839
"4",28,1041,5170,20.1353965183752
"4",29,964,5106,18.8797493145319
"4",30,851,4747,17.9271118601222
"4",31,786,4433,17.7306564403339
"4",32,719,4172,17.2339405560882
"4",33,676,3950,17.1139240506329
"4",34,671,3931,17.0694479776138
"4",35,605,3708,16.3160733549083
"4",36,569,3604,15.788013318535
"4",37,524,3437,15.2458539423916
"4",38,485,3242,14.9599012954966
"4",39,441,3177,13.8810198300283
"4",40,403,3138,12.842574888464
"4",41,379,3083,12.2932208887447
"4",42,282,2323,12.1394748170469
"4",43,195,1565,12.4600638977636
"5",16,1,2975,0.0336134453781513
"5",17,3,3973,0.0755096904102693
"5",18,7,4732,0.14792899408284
"5",19,10,5027,0.198925800676348
"5",20,8,4976,0.160771704180064
"5",21,20,5124,0.39032006245121
"5",22,26,5248,0.495426829268293
"5",23,34,5450,0.623853211009174
"5",24,41,5485,0.747493163172288
"5",25,56,5472,1.0233918128655
"5",26,63,5417,1.16300535351671
"5",27,76,5356,1.41896938013443
"5",28,74,5170,1.43133462282398
"5",29,100,5106,1.95848021934978
"5",30,114,4747,2.40151674741942
"5",31,139,4433,3.13557410331604
"5",32,154,4172,3.69127516778524
"5",33,187,3950,4.73417721518987
"5",34,215,3931,5.46934622233528
"5",35,232,3708,6.25674217907228
"5",36,257,3604,7.13096559378468
"5",37,258,3437,7.50654640675007
"5",38,268,3242,8.26650215916101
"5",39,279,3177,8.78186968838527
"5",40,293,3138,9.33715742511154
"5",41,299,3083,9.69834576710996
"5",42,244,2323,10.5036590615583
"5",43,172,1565,10.9904153354633
"6",15,1,1769,0.0565291124929339
"6",17,1,3973,0.0251698968034231
"6",19,3,5027,0.0596777402029043
"6",20,5,4976,0.10048231511254
"6",21,24,5124,0.468384074941452
"6",22,52,5248,0.990853658536585
"6",23,95,5450,1.74311926605505
"6",24,149,5485,2.71649954421149
"6",25,224,5472,4.09356725146199
"6",26,293,5417,5.40889791397452
"6",27,368,5356,6.87079910380881
"6",28,410,5170,7.93036750483559
"6",29,462,5106,9.048178613396
"6",30,504,4747,10.6172319359596
"6",31,539,4433,12.1588089330025
"6",32,573,4172,13.7344199424736
"6",33,574,3950,14.5316455696203
"6",34,609,3931,15.4922411600102
"6",35,623,3708,16.8015102481122
"6",36,639,3604,17.7302996670366
"6",37,692,3437,20.1338376491126
"6",38,715,3242,22.0542874768661
"6",39,762,3177,23.9848914069877
"6",40,825,3138,26.2906309751434
"6",41,858,3083,27.8300356795329
"6",42,677,2323,29.1433491175204
"6",43,471,1565,30.0958466453674
"7",15,139,1769,7.85754663651781
"7",16,274,2975,9.21008403361345
"7",17,394,3973,9.9169393405487
"7",18,504,4732,10.6508875739645
"7",19,544,5027,10.8215635567933
"7",20,515,4976,10.3496784565916
"7",21,507,5124,9.89461358313817
"7",22,546,5248,10.4039634146341
"7",23,556,5450,10.2018348623853
"7",24,534,5485,9.73564266180492
"7",25,535,5472,9.77704678362573
"7",26,513,5417,9.47018645006461
"7",27,485,5356,9.05526512322629
"7",28,436,5170,8.43326885880077
"7",29,444,5106,8.69565217391304
"7",30,399,4747,8.40530861596798
"7",31,371,4433,8.36905030453418
"7",32,337,4172,8.07766059443912
"7",33,302,3950,7.64556962025316
"7",34,287,3931,7.30094123632663
"7",35,274,3708,7.38942826321467
"7",36,278,3604,7.71365149833518
"7",37,252,3437,7.33197556008147
"7",38,206,3242,6.35410240592227
"7",39,182,3177,5.72867485048788
"7",40,162,3138,5.16252390057361
"7",41,162,3083,5.25462212131041
"7",42,121,2323,5.20878174773999
"7",43,71,1565,4.53674121405751
"8",15,114,1769,6.44431882419446
"8",16,204,2975,6.85714285714286
"8",17,240,3973,6.04077523282155
"8",18,264,4732,5.57903634826712
"8",19,267,5027,5.31131887805848
"8",20,250,4976,5.02411575562701
"8",21,255,5124,4.97658079625293
"8",22,253,5248,4.82088414634146
"8",23,237,5450,4.34862385321101
"8",24,230,5485,4.19325432999088
"8",25,237,5472,4.33114035087719
"8",26,203,5417,3.74746169466494
"8",27,207,5356,3.86482449589246
"8",28,196,5170,3.79110251450677
"8",29,179,5106,3.50567959263611
"8",30,158,4747,3.3284179481778
"8",31,120,4433,2.70697044890593
"8",32,99,4172,2.37296260786194
"8",33,92,3950,2.32911392405063
"8",34,79,3931,2.00966675146273
"8",35,60,3708,1.61812297734628
"8",36,64,3604,1.77580466148724
"8",37,50,3437,1.45475705557172
"8",38,46,3242,1.41887723627391
"8",39,44,3177,1.38495435945861
"8",40,41,3138,1.30656469088591
"8",41,41,3083,1.32987349983782
"8",42,28,2323,1.20533792509686
"8",43,18,1565,1.15015974440895
"9",15,9,1769,0.508762012436405
"9",16,17,2975,0.571428571428571
"9",17,30,3973,0.755096904102693
"9",18,40,4732,0.84530853761623
"9",19,52,5027,1.03441416351701
"9",20,57,4976,1.14549839228296
"9",21,62,5124,1.20999219359875
"9",22,60,5248,1.14329268292683
"9",23,48,5450,0.880733944954128
"9",24,56,5485,1.02096627164995
"9",25,42,5472,0.767543859649123
"9",26,46,5417,0.849178512091563
"9",27,34,5356,0.634802091112771
"9",28,33,5170,0.638297872340425
"9",29,20,5106,0.391696043869957
"9",30,16,4747,0.337054982093954
"9",31,13,4433,0.293255131964809
"9",32,9,4172,0.215723873441994
"9",33,10,3950,0.253164556962025
"9",34,9,3931,0.228949376748919
"9",35,10,3708,0.269687162891046
"9",36,7,3604,0.194228634850167
"9",37,8,3437,0.232761128891475
"9",38,5,3242,0.154225786551511
"9",39,4,3177,0.125904941768964
"9",40,2,3138,0.0637348629700446
"9",41,5,3083,0.162179695102173
"9",42,5,2323,0.215238915195867
"9",43,5,1565,0.319488817891374
